Date,StationID,Lat,Long,Elevation,SD,SWE
2007-04-29,49M25,61.79,-149.2,2200,12,4.4
2007-03-29,49M25,61.79,-149.2,2200,36,9.1
2008-02-01,49M25,61.79,-149.2,2200,37,9.0
2008-02-27,49M25,61.79,-149.2,2200,35,8.9
2008-04-30,49M25,61.79,-149.2,2200,37,12.1
2008-07-01,49M25,61.79,-149.2,2200,42,10.7
2009-01-29,49M25,61.79,-149.2,2200,43,10.0
2009-02-26,49M25,61.79,-149.2,2200,52,12.9
2009-04-29,49M25,61.79,-149.2,2200,24,8.8
2009-04-01,49M25,61.79,-149.2,2200,55,16.6
2010-01-28,49M25,61.79,-149.2,2200,27,6.4
2010-03-03,49M25,61.79,-149.2,2200,33,8.1
2010-04-30,49M25,61.79,-149.2,2200,28,9.7
2010-03-31,49M25,61.79,-149.2,2200,33,9.1
2011-02-02,49M25,61.79,-149.2,2200,27,5.8
2011-03-01,49M25,61.79,-149.2,2200,37,7.6
2011-05-02,49M25,61.79,-149.2,2200,31,10.7
2011-03-30,49M25,61.79,-149.2,2200,37,9.5
2012-03-01,49M25,61.79,-149.2,2200,60,17.6
2012-05-01,49M25,61.79,-149.2,2200,39,15.6
2012-04-02,49M25,61.79,-149.2,2200,57,18.4
2013-02-01,49M25,61.79,-149.2,2200,45,10.3
2013-03-01,49M25,61.79,-149.2,2200,49,13.6
2013-05-01,49M25,61.79,-149.2,2200,58,18.2
2013-04-02,49M25,61.79,-149.2,2200,56,16.4
2014-01-30,49M25,61.79,-149.2,2200,35,10.5
2014-02-27,49M25,61.79,-149.2,2200,35,10.6
2014-04-29,49M25,61.79,-149.2,2200,25,9.5
2014-04-02,49M25,61.79,-149.2,2200,38,11.0
2015-01-30,49M25,61.79,-149.2,2200,29,5.9
2015-03-02,49M25,61.79,-149.2,2200,27,6.6
2015-04-29,49M25,61.79,-149.2,2200,23,8.5
2015-04-01,49M25,61.79,-149.2,2200,33,9.0
2016-01-29,49M25,61.79,-149.2,2200,41,11.2
2016-02-29,49M25,61.79,-149.2,2200,38,11.0
2016-04-29,49M25,61.79,-149.2,2200,21,8.7
2016-04-01,49M25,61.79,-149.2,2200,44,14.4
2017-01-30,49M25,61.79,-149.2,2200,35,7.1
2017-03-02,49M25,61.79,-149.2,2200,39,8.9
2017-05-01,49M25,61.79,-149.2,2200,14,4.6
2017-03-31,49M25,61.79,-149.2,2200,38,9.8
1981-02-04,49M05,61.25,-149.52,3000,18,4.4
1981-03-02,49M05,61.25,-149.52,3000,30,7.3
1981-05-01,49M05,61.25,-149.52,3000,27,9.3
1981-04-01,49M05,61.25,-149.52,3000,34,10.3
1982-01-29,49M05,61.25,-149.52,3000,21,6.1
1982-02-26,49M05,61.25,-149.52,3000,24,9.2
1982-04-29,49M05,61.25,-149.52,3000,19,7.2
1982-03-30,49M05,61.25,-149.52,3000,32,11.5
1983-01-28,49M05,61.25,-149.52,3000,36,11.7
1983-02-25,49M05,61.25,-149.52,3000,35,11.8
1983-05-03,49M05,61.25,-149.52,3000,41,14.0
1983-03-30,49M05,61.25,-149.52,3000,36,11.9
1984-01-31,49M05,61.25,-149.52,3000,28,7.3
1984-02-29,49M05,61.25,-149.52,3000,36,10.4
1984-05-01,49M05,61.25,-149.52,3000,41,14.0
1984-04-02,49M05,61.25,-149.52,3000,37,10.1
1985-02-01,49M05,61.25,-149.52,3000,23,5.4
1985-03-05,49M05,61.25,-149.52,3000,34,9.9
1985-04-30,49M05,61.25,-149.52,3000,40,14.0
1985-04-01,49M05,61.25,-149.52,3000,40,13.5
1986-01-30,49M05,61.25,-149.52,3000,17,3.9
1986-02-27,49M05,61.25,-149.52,3000,23,5.9
1986-04-29,49M05,61.25,-149.52,3000,32,10.0
1986-03-31,49M05,61.25,-149.52,3000,40,9.2
1987-01-29,49M05,61.25,-149.52,3000,27,7.4
1987-02-27,49M05,61.25,-149.52,3000,29,10.4
1987-04-29,49M05,61.25,-149.52,3000,39,14.8
1987-03-30,49M05,61.25,-149.52,3000,37,13.5
1988-01-28,49M05,61.25,-149.52,3000,31,9.1
1988-02-26,49M05,61.25,-149.52,3000,37,13.6
1988-04-29,49M05,61.25,-149.52,3000,47,16.3
1988-03-31,49M05,61.25,-149.52,3000,45,14.9
1989-02-06,49M05,61.25,-149.52,3000,34,10.6
1989-02-28,49M05,61.25,-149.52,3000,35,11.3
1989-05-01,49M05,61.25,-149.52,3000,28,9.3
1989-03-29,49M05,61.25,-149.52,3000,39,12.7
1990-02-02,49M05,61.25,-149.52,3000,45,14.2
1990-02-28,49M05,61.25,-149.52,3000,55,15.9
1990-04-27,49M05,61.25,-149.52,3000,38,15.0
1990-04-02,49M05,61.25,-149.52,3000,54,17.8
1991-01-30,49M05,61.25,-149.52,3000,36,12.2
1991-02-28,49M05,61.25,-149.52,3000,41,14.2
1991-05-01,49M05,61.25,-149.52,3000,48,17.0
1991-04-01,49M05,61.25,-149.52,3000,49,15.7
1992-03-01,49M05,61.25,-149.52,3000,45,15.0
1992-04-30,49M05,61.25,-149.52,3000,52,16.8
1992-03-30,49M05,61.25,-149.52,3000,47,17.0
1993-03-01,49M05,61.25,-149.52,3000,53,16.8
1993-08-01,49M05,61.25,-149.52,3000,45,11.0
1993-03-31,49M05,61.25,-149.52,3000,51,15.7
1994-03-04,49M05,61.25,-149.52,3000,44,13.0
1994-04-01,49M05,61.25,-149.52,3000,48,15.2
1995-03-02,49M05,61.25,-149.52,3000,59,22.5
1995-03-31,49M05,61.25,-149.52,3000,72,25.5
1996-02-29,49M05,61.25,-149.52,3000,28,7.8
1996-04-01,49M05,61.25,-149.52,3000,27,8.3
1997-03-01,49M05,61.25,-149.52,3000,47,14.4
1997-05-01,49M05,61.25,-149.52,3000,31,12.0
1997-03-31,49M05,61.25,-149.52,3000,47,15.4
1998-03-06,49M05,61.25,-149.52,3000,38,11.9
1998-04-02,49M05,61.25,-149.52,3000,37,12.8
1999-02-26,49M05,61.25,-149.52,3000,31,8.7
1999-03-31,49M05,61.25,-149.52,3000,32,8.6
2000-03-01,49M05,61.25,-149.52,3000,44,13.2
2000-03-30,49M05,61.25,-149.52,3000,55,18.0
2001-03-01,49M05,61.25,-149.52,3000,27,7.4
2001-04-03,49M05,61.25,-149.52,3000,35,11.6
2002-03-05,49M05,61.25,-149.52,3000,44,14.3
2002-03-28,49M05,61.25,-149.52,3000,43,9.8
2003-03-03,49M05,61.25,-149.52,3000,21,6.5
2003-03-28,49M05,61.25,-149.52,3000,21,5.4
2004-03-01,49M05,61.25,-149.52,3000,30,8.6
2004-04-28,49M05,61.25,-149.52,3000,46,16.5
2004-04-01,49M05,61.25,-149.52,3000,45,13.9
2005-03-01,49M05,61.25,-149.52,3000,61,23.5
2005-04-01,49M05,61.25,-149.52,3000,56,21.0
2006-03-01,49M05,61.25,-149.52,3000,31,9.6
2006-03-31,49M05,61.25,-149.52,3000,35,11.4
2007-03-02,49M05,61.25,-149.52,3000,37,12.5
2007-03-31,49M05,61.25,-149.52,3000,43,14.5
2008-02-29,49M05,61.25,-149.52,3000,31,9.4
2008-03-31,49M05,61.25,-149.52,3000,40,12.5
2009-03-02,49M05,61.25,-149.52,3000,21,4.4
2009-04-01,49M05,61.25,-149.52,3000,27,7.0
2010-03-02,49M05,61.25,-149.52,3000,26,7.1
2010-04-02,49M05,61.25,-149.52,3000,29,8.2
2011-02-28,49M05,61.25,-149.52,3000,37,10.8
2011-03-31,49M05,61.25,-149.52,3000,31,9.5
2012-03-01,49M05,61.25,-149.52,3000,69,25.0
2012-03-30,49M05,61.25,-149.52,3000,73,29.5
2013-03-01,49M05,61.25,-149.52,3000,27,7.7
2013-04-01,49M05,61.25,-149.52,3000,32,8.7
2014-02-27,49M05,61.25,-149.52,3000,19,5.4
2014-03-31,49M05,61.25,-149.52,3000,19,6.2
